# stash — merged scan result vs the ground-truth label
# (auto-generated; do not edit by hand — see screenshots/CLAUDE.md)
#
# The stash grid spans several scroll shots; this is the merged tally of all
# of them (regenerated from the frozen .boxes.json — no game), compared to
# stash.label.txt. Per-shot reads are in the sibling stash.shotN.ocr-result.txt.
#
## SUMMARY
  captured 188/200 label tile(s)  (12 missing, 5 extra)
  exact match: NO — see the per-item breakdown below
  note: the 38-shot row-by-row series is gap-free and data.json names now match the game's own strings; the residual misses are engine-level (busy-icon tiles OCR to no text, e.g. RAM) plus phantom rows from garbled first sightings — informational, not gated
#
## PER ITEM   (read = scan count, label = ground truth)
# status  read/label  item_id
  OK         4/4      misc_b_aspire
  MISSING    3/4      misc_b_asthmamedication
  OK         3/3      misc_b_bandaid
  EXTRA     13/10     misc_b_battery_1
  MISSING    2/5      misc_b_battery_2
  OK         6/6      misc_b_beardoil
  OK         7/7      misc_b_ceramic_adhesive
  OK         3/3      misc_b_deodorant
  OK         2/2      misc_b_disinfectingwipes
  OK         4/4      misc_b_flashlight
  OK         5/5      misc_b_gastank
  OK         3/3      misc_b_gastank_large
  MISSING    2/3      misc_b_glue_large
  OK         3/3      misc_b_gunoil
  OK         5/5      misc_b_insulatingtape
  OK         5/5      misc_b_iodophor
  MISSING    8/9      misc_b_ionbattery
  OK         1/1      misc_b_lighter
  OK         4/4      misc_b_lighterfluid
  OK         5/5      misc_b_match
  OK         2/2      misc_b_medicalscissors
  OK         3/3      misc_b_moldboard
  EXTRA      2/1      misc_b_nail
  OK         2/2      misc_b_newphone
  OK         1/1      misc_b_nut
  OK         2/2      misc_b_oldphone
  OK         8/8      misc_b_opticaldisc
  MISSING    7/8      misc_b_pcfan
  OK         1/1      misc_b_pesticide
  OK         1/1      misc_b_piezometer
  OK         2/2      misc_b_pipeline
  OK         1/1      misc_b_plier_large
  OK        17/17     misc_b_ram
  OK         2/2      misc_b_rat_poison
  MISSING    0/1      misc_b_recorder
  MISSING    2/3      misc_b_rustedcleaner
  OK         1/1      misc_b_saltcan
  OK         3/3      misc_b_screw
  OK         2/2      misc_b_shampoo
  OK         1/1      misc_b_socket
  OK         2/2      misc_b_sparkplug
  OK         2/2      misc_b_spraycan
  OK         2/2      misc_b_superglue
  MISSING    4/5      misc_b_tape
  MISSING    1/2      misc_b_tire_sealant
  MISSING    6/7      misc_b_wd40
  OK         3/3      misc_b_wirecutting
  OK         1/1      misc_b_wrench
  OK         1/1      misc_copperwire
  OK         2/2      misc_cpu
  OK         1/1      misc_facialcleaner
  OK         7/7      misc_floppydisk
  OK         2/2      misc_hammer
  EXTRA      1/0      misc_householdleaner
  OK         6/6      misc_notebook
  OK         3/3      misc_screwdriver
  OK         1/1      misc_wastechip
